"Word ID","Word","English Word","Actions","Length","Weight","Strength","Level"
"2","గుర్రపునాడా","gurrapunada","","5","11","3","3"
"3","అలంకరణ","decoration","","5","6","2","2"
"4","ప్రథమచికిత్స","firstaid","","6","12","3","3"
"5","బుడబుక్కలవాడు","budabukkalavadu","","7","13","3","3"
"6","విసనకర్ర","fan","","5","8","3","3"
"7","బతుకమ్మ","bathukamma","","4","7","3","3"
"8","హరికథ","harikatha","","4","5","2","2"
"9","బుడతడు","prick","","4","6","2","2"
"10","చేతికర్ర","cane","","4","8","3","3"
"11","కర్మాగారము","factory","","5","10","4","4"
"12","రథచక్రము","rathacakramu","","5","8","3","3"
"13","సూర్యగ్రహణము","thesun","","6","12","3","3"
"14","కొబ్బరిచిప్పలు","kobbaricippalu","","6","14","3","3"
"15","కరతాళము","applause","","5","7","2","2"
"16","మంధని","mandhani","","3","5","2","2"
"17","ఎముకలగూడు","emukalagudu","","6","9","2","2"
"18","డమరుకము","damarukamu","","5","7","2","2"
"19","కరవాలము","hanger","","5","7","2","2"
"20","జలపాతము","waterfall","","5","7","2","2"
"21","సోదరులు","brothers","","4","7","2","2"
"22","కందిరీగ","wasp","","4","7","2","2"
"23","తోకచుక్క","comet","","4","8","3","3"
"24","క్రీడాకారులు","players","","5","12","4","4"
"25","పచ్చబొట్టు","tattoo","","4","10","4","4"
"26","దిష్టిబొమ్మ","scarecrow","","4","11","4","4"
"27","గులాబీలు","roses","","4","8","2","2"
"28","బొటనవేలు","toe","","5","8","2","2"
"29","పురికొస","cord","","4","7","2","2"
"30","అమ్మలక్కలు","ammalakkalu","","5","10","3","3"
"31","దాగుడుమూతలు","hide","","6","11","2","2"
"32","అనాసపండు","ananas","","5","8","2","2"
"33","కొడవలి","sickle","","4","6","2","2"
"34","పిచ్చుక","sparrow","","3","7","4","4"
"35","పొగగొట్టము","chimney","","5","10","3","3"
"37","ఆవులదొడ్డి","avuladoddi","","5","10","4","4"
"38","సవరము","savaramu","","4","5","2","2"
"39","పిలక","tuft","","3","4","2","2"
"40","ఉత్కోచము","utkocamu","","4","8","4","4"
"42","పావురము","dove","","4","7","2","2"
"43","సాగరం","sea","","3","5","2","2"
"44","బుడగ","bubble","","3","4","2","2"
"45","బడిపంతులమ్మ","badipantulamma","","6","11","3","3"
"46","ఉల్లిపాయలు","onions","","5","10","4","4"
"47","బంగారుకిరీటము","bangarukiritamu","","7","13","2","2"
"48","శాస్త్రీయపరికరాలు","sastriyaparikaralu","","8","17","6","6"
"49","మూడుకాళ్ళముసలి","mudukallamusali","","7","14","3","3"
"50","పురోహితుడు","vicar","","5","10","2","2"
"51","అష్టాచెమ్మ","astacemma","","4","10","4","4"
"52","ఐశ్వర్యము","opulence","","4","9","3","3"
"53","నృత్యప్రియుడు","nrtyapriyudu","","5","13","4","4"
"54","ముత్యపుచిప్ప","mutyapucippa","","5","12","3","3"
"55","ముక్కుపుడక","mukkupudaka","","5","10","4","4"
"56","కీటకాలు","insects","","4","7","2","2"
"57","ఉంగరపువేలు","ungarapuvelu","","6","10","2","2"
"58","బరిణపురుగు","barinapurugu","","6","10","2","2"
"59","గుర్రాలదండు","gurraladandu","","5","11","4","4"
"60","వివాహితురాలు","married","","6","12","2","2"
"61","వల్లకాడు","vallakadu","","4","8","3","3"
"62","దివిటీ","torchlight","","3","6","2","2"
"63","కపాలము","calvarium","","4","6","2","2"
"64","పరలోకపయనము","paralokapayanamu","","8","10","2","2"
"65","ఎముకలు","bones","","4","6","2","2"
"66","పాపడిబిళ్ళ","papadibilla","","5","10","3","3"
"67","నాగలి","plow","","3","5","2","2"
"68","ఎలుగుబంటి","bear","","5","9","2","2"
"69","వేలిముద్ర","fingerprint","","4","9","3","3"
"70","పాషాణము","poison","","4","7","2","2"
"71","తాటికాయలు","tatikayalu","","5","9","2","2"
"72","చెవులపిల్లి","cevulapilli","","5","11","4","4"
"73","చింతపిక్కలాట","cintapikkalata","","6","12","3","3"
