No,Words,English_word,image,,,,,,
2,గుర్రపునాడా,gurrapunada,image4.png,5,11,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
3,అలంకరణ,decoration,image5.png,5,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
4,ప్రథమచికిత్స,firstaid,image6.png,6,12,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
5,బుడబుక్కలవాడు,budabukkalavadu,image10.png,7,13,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
6,విసనకర్ర,fan,image9.png,5,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
7,బతుకమ్మ,bathukamma,image12.png,4,7,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
8,హరికథ,harikatha,image11.png,4,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
9,బుడతడు,prick,image16.png,4,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
10,చేతికర్ర,cane,image15.png,4,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
11,కర్మాగారము,factory,image18.png,5,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
12,రథచక్రము,rathacakramu,image14.png,5,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
13,సూర్యగ్రహణము,thesun,image23.png,6,12,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
14,కొబ్బరిచిప్పలు,kobbaricippalu,image21.png,6,14,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
15,కరతాళము,applause,image20.png,5,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
16,మంధని,mandhani,image19.png,3,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
17,ఎముకలగూడు,emukalagudu,image27.png,6,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
18,డమరుకము,damarukamu,image24.png,5,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
19,కరవాలము,hanger,image28.png,5,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
20,జలపాతము,waterfall,image29.png,5,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
21,సోదరులు,brothers,image25.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
22,కందిరీగ,wasp,image26.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
23,తోకచుక్క,comet,image33.png,4,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
24,క్రీడాకారులు,players,image32.png,5,12,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
25,పచ్చబొట్టు,tattoo,tattoo_pacha_boTTu1.png,4,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
26,దిష్టిబొమ్మ,scarecrow,image35.png,4,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
27,గులాబీలు,roses,image36.png,4,8,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
28,బొటనవేలు,toe,image31.png,5,8,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
29,పురికొస,cord,image42.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
30,అమ్మలక్కలు,ammalakkalu,image39.png,5,10,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
31,దాగుడుమూతలు,hide,image41.png,6,11,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
32,అనాసపండు,ananas,image38.png,5,8,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
33,కొడవలి,sickle,image40.png,4,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
34,పిచ్చుక,sparrow,image47.png,3,7,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
35,పొగగొట్టము,chimney,chimney_poga_gottamu.PNG,5,10,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
37,ఆవులదొడ్డి,avuladoddi,image45.jpeg,5,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
38,సవరము,savaramu,image49.jpeg,4,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
39,పిలక,tuft,tuft.png,3,4,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
40,ఉత్కోచము,utkocamu,image999.png,4,8,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
42,పావురము,dove,dove.jpg,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
43,సాగరం,sea,sea.jpg,3,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
44,బుడగ,bubble,bubble.PNG,3,4,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
45,బడిపంతులమ్మ,badipantulamma,image58.png,6,11,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
46,ఉల్లిపాయలు,onions,image57.png,5,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
47,బంగారుకిరీటము,bangarukiritamu,image52.png,7,13,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
48,శాస్త్రీయపరికరాలు,sastriyaparikaralu,image54.png,8,17,6,6,2020-11-15 18:28:32,2020-11-15 18:31:22
49,మూడుకాళ్ళముసలి,mudukallamusali,image55.png,7,14,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
50,పురోహితుడు,vicar,image56.png,5,10,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
51,అష్టాచెమ్మ,astacemma,image64.png,4,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
52,ఐశ్వర్యము,opulence,image62.png,4,9,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
53,నృత్యప్రియుడు,nrtyapriyudu,image60.png,5,13,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
54,ముత్యపుచిప్ప,mutyapucippa,image59.png,5,12,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
55,ముక్కుపుడక,mukkupudaka,image61.png,5,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
56,కీటకాలు,insects,image70.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
57,ఉంగరపువేలు,ungarapuvelu,ring_finger.jpg,6,10,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
58,బరిణపురుగు,barinapurugu,image67.png,6,10,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
59,గుర్రాలదండు,gurraladandu,image68.png,5,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
60,వివాహితురాలు,married,image69.png,6,12,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
61,వల్లకాడు,vallakadu,image74.png,4,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
62,దివిటీ,torchlight,image75.png,3,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
63,కపాలము,calvarium,skull.jpg,4,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
64,పరలోకపయనము,paralokapayanamu,image72.png,8,10,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
65,ఎముకలు,bones,image76.png,4,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
66,పాపడిబిళ్ళ,papadibilla,image81.png,5,10,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
67,నాగలి,plow,image80.png,3,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
68,ఎలుగుబంటి,bear,image84.png,5,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
69,వేలిముద్ర,fingerprint,image79.png,4,9,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
70,పాషాణము,poison,image82.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
71,తాటికాయలు,tatikayalu,image78.png,5,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
72,చెవులపిల్లి,cevulapilli,image88.png,5,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
73,చింతపిక్కలాట,cintapikkalata,image89.png,6,12,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
74,భవనసముదాయము,complex,image85.png,8,11,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
75,కంజర,kanjara,image86.png,3,4,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
76,నడికట్టు,belting,image87.png,4,8,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
77,వకీలు,dummy,lawyer2.jpg,3,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
78,సివంగి,ounce,image92.png,3,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
79,పరికిణి,ghagra,image93.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
80,కుమారిక,kumarika,image93.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
81,పసివాడు,baby,image94.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
82,కర్రసాము,expertsinglestickplayer,image96.png,4,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
83,భరిణ,pyxis,image95.png,3,4,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
84,తమలపాకులు,betel,image98.png,6,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
85,మువ్వలు,bells,image97.png,3,7,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
86,చిరుతపులి,leopard,image99.png,5,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
87,మెరుపులు,lightning,image100.png,4,8,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
88,జాతర,fair,image101.png,3,4,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
89,ఊయల,hammock,image102.png,3,3,1,1,2020-11-15 18:28:32,2020-11-15 18:31:22
90,అల్మారా,shelf,image103.png,3,7,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
91,ప్రమాదం,accident,image104.png,3,7,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
92,పచ్చికబయలు,lea,image105.png,6,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
93,బాణాసంచా,fireworks,image107.png,4,8,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
94,దుకాణము,shop,image106.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
95,పేకముక్కలు,card,image109.png,5,10,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
96,ఊపిరితిత్తులు,lungs,image110.png,6,13,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
97,పర్వతశ్రేణి,therange,image114.png,5,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
98,చార్మినార్,charminar,image111.png,4,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
99,నాట్యశాల,natyasala,image112.png,4,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
100,అగ్నిపర్వతము,volcanic,image113.png,6,12,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
101,వీడియోసమావేశము,vidiyosamavesamu,image116.png,8,14,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
102,సైనికాధికారి,army,image118.png,7,13,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
103,ఖజానా,treasury,image117.png,3,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
104,చుక్కలాట,cukkalata,image119.png,4,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
105,గుడ్డపీలికలు,guddapilikalu,image120.png,6,12,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
106,ఏకాంతము,solitary,image121.png,4,7,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
107,జన్మదినవేడుక,janmadinaveduka,image123.png,7,12,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
108,కొండచిలువ,python,image126.png,5,9,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
109,పసుపుకొమ్ము,pasupukommu,image125.png,5,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
110,నిప్పుకోడి,ostrich,image124.png,4,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
111,ఎక్కములపట్టిక,ekkamulapattika,image127.png,7,13,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
112,పందెంకోళ్ళు,pandenkollu,image128.png,4,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
113,ఏడుపెంకులాట,sevenpenkulata,image129.png,6,11,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
114,గుడిగంటలు,gudigantalu,image131.png,5,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
115,సౌరమండలము,solarsystem,image130.png,6,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
116,పిండిజల్లెడ,pindijalleda,image135.png,5,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
117,గబ్బిలము,bat,image136.png,4,8,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
118,కుటీరము,hut,image137.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
119,గజ్జలపలక,gajjalapalaka,hand_tamburine.jpg,6,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
120,గిలకపాము,gilakapamu,image133.png,5,8,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
121,తాళపత్రగ్రంథము,talapatragranthamu,image134.png,7,14,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
122,వ్యవసాయము,earing,image145.png,5,9,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
123,ఇంద్రధనస్సు,rainbow,image144.png,5,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
124,నాగజెముడు,cactus,image140.png,5,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
125,శూన్యము,vacuum,image141.png,3,7,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
126,రుద్రవీణ,rudravina,image143.png,4,8,3,3,2020-11-15 18:28:32,2020-11-15 18:31:22
127,రుబ్బురోలు,rubburolu,image142.png,4,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
128,తరంగం,wave,image147.png,3,5,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
129,కాగితపుపడవ,kagitapupadava,image148.png,7,10,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
130,గారెలు,gare,image153.png,3,6,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
131,జోడెద్దులు,jodeddulu,image149.png,4,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
132,కాడెద్దులు,kadeddulu,image149.png,4,10,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
133,జడకోలాటము,jadakolatamu,image151.png,6,9,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
134,దేశపటము,themap,image154.png,5,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
135,త్రిభుజములు,triangles,image150.png,5,11,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
136,తలుపులు,doors,image156.png,4,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
137,గుప్పెడు,handful,image157.png,3,8,4,4,2020-11-15 18:28:32,2020-11-15 18:31:22
138,కటకటాలు,thegrid,image158.png,5,7,2,2,2020-11-15 18:28:32,2020-11-15 18:31:22
